Network (Setting),Influenza positive N vaccinated / Total (%),Influenza negative N vaccinated / Total (%),VE (95% CI)*
All adults (aged ≥18 years),All adults (aged ≥18 years),All adults (aged ≥18 years),All adults (aged ≥18 years)
Any Influenza,Any Influenza,Any Influenza,Any Influenza
US Flu VE (Outpatient**),370/1144 (32%),1629/3505 (46%),35 (24–45)
VISION (Outpatient),9622/40893 (24%),67366/159885 (42%),47 (46 –49)
IVY (Inpatient),391/1170 (33%),2779/6520 (43%),40 (32–54)
VISION (Inpatient),2010/5721 (35%),30445/61107 (50%),39 (35–43)
Any Influenza A,Any Influenza A,Any Influenza A,Any Influenza A
US Flu VE (Outpatient),370/1144 (32%),1629/3505 (46%),35 (24–45)
VISION (Outpatient),8861/31803 (28%),67366/159885 (42%),41 (39–42)
IVY (Inpatient),266/722 (37%),2779/6520 (43%),31 (18–42)
VISION (Inpatient),1931/5177 (37%),30445/61107 (50%),37 (32–41)
Influenza A(H1N1)pdm09,Influenza A(H1N1)pdm09,Influenza A(H1N1)pdm09,Influenza A(H1N1)pdm09
US Flu VE (Outpatient),223/562 (40%),1629/3505 (46%),22 (5–37)
IVY (Inpatient),165/465 (34%),2779/6520 (43%),36 (21–48)
Influenza A(H3N2),Influenza A(H3N2),Influenza A(H3N2),Influenza A(H3N2)
US Flu VE (Outpatient),78/261 (30%),1629/3505 (46%),30 (5–49)
IVY (Inpatient),92/228 (40%),2779/6520 (43%),19 (-8–39)
Influenza B,Influenza B,Influenza B,Influenza B
US Flu VE (Outpatient),41/263 (16%),1629/3505 (46%),70 (58–80)
VISION (Outpatient),770/9161 (8%),67366/159885 (42%),75 (72–77)
IVY (Inpatient),10/69 (14%),2779/6520 (39%),—
VISION (Inpatient),88/568 (15%),30445/61107 (50%),67 (54–76)
Adults (aged 18–64 years),Adults (aged 18–64 years),Adults (aged 18–64 years),Adults (aged 18–64 years)
Any Influenza,Any Influenza,Any Influenza,Any Influenza
US Flu VE (Outpatient),286/1002 (29%),1060/2710 (39%),33 (20–44)
VISION (Outpatient),5737/33642 (17%),31008/103738 (30%),51 (49–52)
VISION (Inpatient),514/2494 (21%),6318/19594 (32%),45 (38–50)
Any Influenza A,Any Influenza A,Any Influenza A,Any Influenza A
US Flu VE (Outpatient),247/751 (33%),1060/2710 (39%),17 (0–32)
VISION (Outpatient),5077/24849 (20%),31008/103738 (30%),43 (41–45)
VISION (Inpatient),469/2073 (23%),6318/19594 (32%),40 (33–47)
Influenza B,Influenza B,Influenza B,Influenza B
US Flu VE (Outpatient),40/257 (16%),1060/2710 (39%),68 (54–78)
VISION (Outpatient),664/8845 (8%),31008/103738 (30%),76 (73–78)
VISION (Inpatient),51/434 (12%),6318/19594 (32%),66 (50–77)
Older adults (aged ≥65 years),Older adults (aged ≥65 years),Older adults (aged ≥65 years),Older adults (aged ≥65 years)
Any Influenza,Any Influenza,Any Influenza,Any Influenza
US Flu VE (Outpatient),85/142 (60%),569/795 (72%),37(5–58)
VISION (Outpatient),3885/7251 (54%),36358/56147 (65%),37 (34–40)
IVY (Inpatient),243/505 (48%),1762/3383 (48%),31 (16–43)
VISION (Inpatient),1496/3227 (46%),24127/41513 (58%),36 (31–41)
Any Influenza A,Any Influenza A,Any Influenza A,Any Influenza A
US Flu VE (Outpatient),83/136 (61%),569/795 (72%),33 (-2–56)
VISION (Outpatient),3784/6954 (54%),36358/56147 (65%),36 (32–39)
VISION (Inpatient),1462/3104 (47%),24127/41513 (58%),35 (29–40)
Influenza B,Influenza B,Influenza B,Influenza B
US Flu VE (Outpatient),2/6 (33%),569/795 (72%),—
VISION (Outpatient),106/316 (34%),36358/56147 (65%),67 (56–75)
VISION (Inpatient),37/134 (28%),24127/41513 (58%),66 (50– 78)
